Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration,
N/A,IGP_II_20170417,Specimen,Sample(24),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,705.170732,
N/A,IGP_II_20170417,Specimen,Sample(25),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1063.829787,
N/A,IGP_II_20170417,Specimen,Sample(25),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"45,241",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,481.287234,
N/A,IGP_II_20170417,Specimen,Sample(25),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1063.829787,
N/A,IGP_II_20170417,Specimen,Sample(25),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,425.925532,
N/A,IGP_II_20170417,Specimen,Sample(26),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1219.512195,
N/A,IGP_II_20170417,Specimen,Sample(26),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"56,972",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,694.780488,
N/A,IGP_II_20170417,Specimen,Sample(26),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1219.512195,
N/A,IGP_II_20170417,Specimen,Sample(26),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,618.463415,
N/A,IGP_II_20170417,Specimen,Sample(27),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"49,971",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,499.71,
N/A,IGP_II_20170417,Specimen,Sample(27),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"37,332",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,373.32,
N/A,IGP_II_20170417,Specimen,Sample(27),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,499.71,
N/A,IGP_II_20170417,Specimen,Sample(27),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,333.59,
N/A,IGP_II_20170417,Specimen,Sample(28),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"50,944",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,509.44,
N/A,IGP_II_20170417,Specimen,Sample(28),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"36,189",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,361.89,
N/A,IGP_II_20170417,Specimen,Sample(28),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,509.44,
N/A,IGP_II_20170417,Specimen,Sample(28),OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,330.57,
N/A,IGP_II_20170417,Specimen,Sample(29),OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1111.111111,
N/A,IGP_II_20170417,Specimen,Sample(29),OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"40,595",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,451.055556,
N/A,IGP_II_20170417,Specimen,Sample(29),OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1111.111111,
